16:48:08:828321: ,0:00:01.633150,Inicializando el sensor: DHT11 
16:48:08:882177: ,0:00:00.053856,Lectura de humedad y temperatura y postprocesado 
16:48:08:898135: ,0:00:00.015958,Daniel Velasco 
16:48:08:899133: ,0:00:00.000998, 
16:48:08:991883: ,0:00:00.092750,Numero medida,Humedad (%),Temperatura (\xc2\xbaC),Punto de rocio (\xc2\xbaC),Sensacion termica (\xc2\xbaC) 
16:58:16:113315: ,0:00:06.053919,100,41.00,25.10,10.94,24.74
16:58:22:166236: ,0:00:06.052921,101,41.00,25.10,10.94,24.74
16:58:28:216137: ,0:00:06.049901,102,41.00,25.10,10.94,24.74
16:58:34:269537: ,0:00:06.053400,103,41.00,25.10,10.94,24.74
16:58:40:318443: ,0:00:06.048906,104,41.00,25.10,10.94,24.74
16:58:46:372327: ,0:00:06.053884,105,41.00,25.10,10.94,24.74
16:58:52:421248: ,0:00:06.048921,106,41.00,25.10,10.94,24.74
16:58:58:471157: ,0:00:06.049909,107,41.00,25.10,10.94,24.74
16:59:04:524562: ,0:00:06.053405,108,41.00,25.10,10.94,24.74
16:59:10:573498: ,0:00:06.048936,109,41.00,25.10,10.94,24.74
16:59:16:627879: ,0:00:06.054381,110,41.00,25.20,11.03,24.85
16:59:22:677252: ,0:00:06.049373,111,42.00,25.20,11.40,24.87
16:59:28:730165: ,0:00:06.052913,112,42.00,25.20,11.40,24.87
16:59:34:779530: ,0:00:06.049365,113,42.00,25.20,11.40,24.87
16:59:40:833425: ,0:00:06.053895,114,42.00,25.20,11.40,24.87
16:59:46:882852: ,0:00:06.049427,115,42.00,25.20,11.40,24.87
16:59:52:936233: ,0:00:06.053381,116,42.00,25.30,11.49,24.98
16:59:58:985160: ,0:00:06.048927,117,42.00,25.30,11.49,24.98
17:00:05:039064: ,0:00:06.053904,118,42.00,25.30,11.49,24.98
17:00:11:088992: ,0:00:06.049928,119,42.00,25.30,11.49,24.98
17:00:17:141885: ,0:00:06.052893,120,42.00,25.30,11.49,24.98
17:00:23:191773: ,0:00:06.049888,121,42.00,25.30,11.49,24.98
17:00:29:244683: ,0:00:06.052910,122,42.00,25.30,11.49,24.98
17:00:35:294582: ,0:00:06.049899,123,42.00,25.30,11.49,24.98
17:00:41:347977: ,0:00:06.053395,124,41.00,25.30,11.12,24.96
17:00:47:396866: ,0:00:06.048889,125,41.00,25.30,11.12,24.96
17:00:53:450800: ,0:00:06.053934,126,41.00,25.30,11.12,24.96
17:00:59:500173: ,0:00:06.049373,127,41.00,25.30,11.12,24.96
17:01:05:553575: ,0:00:06.053402,128,41.00,25.30,11.12,24.96
17:01:11:602995: ,0:00:06.049420,129,41.00,25.30,11.12,24.96
17:01:17:656876: ,0:00:06.053881,130,41.00,25.30,11.12,24.96
17:01:23:705794: ,0:00:06.048918,131,41.00,25.30,11.12,24.96
17:01:29:755717: ,0:00:06.049923,132,41.00,25.30,11.12,24.96
17:01:35:809098: ,0:00:06.053381,133,41.00,25.30,11.12,24.96
17:01:41:859020: ,0:00:06.049922,134,41.00,25.30,11.12,24.96
17:01:47:911915: ,0:00:06.052895,135,41.00,25.30,11.12,24.96
17:01:53:961365: ,0:00:06.049450,136,41.00,25.30,11.12,24.96
17:02:00:015358: ,0:00:06.053993,137,41.00,25.30,11.12,24.96
17:02:06:064770: ,0:00:06.049412,138,41.00,25.30,11.12,24.96
17:02:12:117624: ,0:00:06.052854,139,41.00,25.30,11.12,24.96
17:02:18:167548: ,0:00:06.049924,140,41.00,25.30,11.12,24.96
17:02:24:220926: ,0:00:06.053378,141,41.00,25.30,11.12,24.96
17:02:30:270339: ,0:00:06.049413,142,41.00,25.30,11.12,24.96
17:02:36:323736: ,0:00:06.053397,143,41.00,25.30,11.12,24.96
17:02:42:373153: ,0:00:06.049417,144,41.00,25.20,11.03,24.85
17:02:48:426553: ,0:00:06.053400,145,42.00,25.20,11.40,24.87
17:02:54:476488: ,0:00:06.049935,146,42.00,25.30,11.49,24.98
17:03:00:529380: ,0:00:06.052892,147,42.00,25.30,11.49,24.98
17:03:06:579802: ,0:00:06.050422,148,42.00,25.30,11.49,24.98
17:03:12:632722: ,0:00:06.052920,149,42.00,25.30,11.49,24.98
17:03:18:682110: ,0:00:06.049388,150,42.00,25.30,11.49,24.98
17:03:24:735512: ,0:00:06.053402,151,42.00,25.30,11.49,24.98
17:03:30:784920: ,0:00:06.049408,152,42.00,25.30,11.49,24.98
17:03:36:837822: ,0:00:06.052902,153,42.00,25.30,11.49,24.98
17:03:42:887742: ,0:00:06.049920,154,42.00,25.30,11.49,24.98
17:03:48:941641: ,0:00:06.053899,155,42.00,25.30,11.49,24.98
17:03:54:991012: ,0:00:06.049371,156,42.00,25.30,11.49,24.98
17:04:01:044407: ,0:00:06.053395,157,42.00,25.30,11.49,24.98
17:04:07:093772: ,0:00:06.049365,158,42.00,25.30,11.49,24.98
17:04:13:147167: ,0:00:06.053395,159,42.00,25.30,11.49,24.98
17:04:19:196101: ,0:00:06.048934,160,42.00,25.30,11.49,24.98
17:04:25:250487: ,0:00:06.054386,161,42.00,25.30,11.49,24.98
17:04:31:299390: ,0:00:06.048903,162,42.00,25.30,11.49,24.98
17:04:37:352800: ,0:00:06.053410,163,42.00,25.30,11.49,24.98
17:04:43:402697: ,0:00:06.049897,164,42.00,25.30,11.49,24.98
17:04:49:452118: ,0:00:06.049421,165,42.00,25.30,11.49,24.98
17:04:55:504990: ,0:00:06.052872,166,42.00,25.30,11.49,24.98
17:05:01:554917: ,0:00:06.049927,167,42.00,25.30,11.49,24.98
17:05:07:607813: ,0:00:06.052896,168,42.00,25.30,11.49,24.98
17:05:13:657221: ,0:00:06.049408,169,42.00,25.30,11.49,24.98
17:05:19:711105: ,0:00:06.053884,170,42.00,25.30,11.49,24.98
17:05:25:760994: ,0:00:06.049889,171,42.00,25.30,11.49,24.98
17:05:31:814395: ,0:00:06.053401,172,42.00,25.30,11.49,24.98
17:05:37:863301: ,0:00:06.048906,173,42.00,25.30,11.49,24.98
17:05:43:916700: ,0:00:06.053399,174,42.00,25.30,11.49,24.98
17:05:49:966103: ,0:00:06.049403,175,42.00,25.30,11.49,24.98
17:05:56:019995: ,0:00:06.053892,176,42.00,25.30,11.49,24.98
17:06:02:068899: ,0:00:06.048904,177,42.00,25.30,11.49,24.98
17:06:08:123310: ,0:00:06.054411,178,42.00,25.30,11.49,24.98
17:06:14:172225: ,0:00:06.048915,179,42.00,25.30,11.49,24.98
17:06:20:226139: ,0:00:06.053914,180,42.00,25.30,11.49,24.98
17:06:26:275054: ,0:00:06.048915,181,42.00,25.30,11.49,24.98
17:06:32:328934: ,0:00:06.053880,182,42.00,25.30,11.49,24.98
17:06:38:378337: ,0:00:06.049403,183,42.00,25.30,11.49,24.98
17:06:44:431236: ,0:00:06.052899,184,42.00,25.30,11.49,24.98
17:06:50:480651: ,0:00:06.049415,185,42.00,25.30,11.49,24.98
17:06:56:534036: ,0:00:06.053385,186,42.00,25.30,11.49,24.98
17:07:02:584443: ,0:00:06.050407,187,42.00,25.30,11.49,24.98
17:07:08:637332: ,0:00:06.052889,188,42.00,25.30,11.49,24.98
17:07:14:686746: ,0:00:06.049414,189,42.00,25.30,11.49,24.98
17:07:20:740634: ,0:00:06.053888,190,42.00,25.30,11.49,24.98
17:07:26:790052: ,0:00:06.049418,191,42.00,25.30,11.49,24.98
17:07:32:842964: ,0:00:06.052912,192,42.00,25.30,11.49,24.98
17:07:38:892854: ,0:00:06.049890,193,42.00,25.30,11.49,24.98
17:07:44:946261: ,0:00:06.053407,194,42.00,25.30,11.49,24.98
17:07:50:995659: ,0:00:06.049398,195,42.00,25.30,11.49,24.98
17:07:57:045047: ,0:00:06.049388,196,42.00,25.30,11.49,24.98
17:08:03:098949: ,0:00:06.053902,197,42.00,25.30,11.49,24.98
17:08:09:148346: ,0:00:06.049397,198,42.00,25.30,11.49,24.98
17:08:15:201295: ,0:00:06.052949,199,42.00,25.30,11.49,24.98
17:08:21:251223: ,0:00:06.049928,200,42.00,25.30,11.49,24.98
17:08:27:304137: ,0:00:06.052914,201,42.00,25.30,11.49,24.98
17:08:33:354044: ,0:00:06.049907,202,42.00,25.30,11.49,24.98
17:08:39:407447: ,0:00:06.053403,203,42.00,25.40,11.58,25.09
17:08:45:456844: ,0:00:06.049397,204,42.00,25.40,11.58,25.09
17:08:51:510762: ,0:00:06.053918,205,42.00,25.40,11.58,25.09
17:08:57:559671: ,0:00:06.048909,206,42.00,25.40,11.58,25.09
17:09:03:613180: ,0:00:06.053509,207,42.00,25.40,11.58,25.09
17:09:09:662601: ,0:00:06.049421,208,42.00,25.40,11.58,25.09
17:09:15:716508: ,0:00:06.053907,209,42.00,25.40,11.58,25.09
17:09:21:765408: ,0:00:06.048900,210,42.00,25.40,11.58,25.09
17:09:27:819324: ,0:00:06.053916,211,42.00,25.40,11.58,25.09
17:09:33:868221: ,0:00:06.048897,212,42.00,25.40,11.58,25.09
17:09:39:922142: ,0:00:06.053921,213,42.00,25.40,11.58,25.09
17:09:45:971049: ,0:00:06.048907,214,42.00,25.40,11.58,25.09
17:09:52:025448: ,0:00:06.054399,215,42.00,25.40,11.58,25.09
17:09:58:074846: ,0:00:06.049398,216,42.00,25.40,11.58,25.09
17:10:04:127765: ,0:00:06.052919,217,42.00,25.40,11.58,25.09
17:10:10:177194: ,0:00:06.049429,218,42.00,25.40,11.58,25.09
17:10:16:230593: ,0:00:06.053399,219,42.00,25.40,11.58,25.09
17:10:22:280043: ,0:00:06.049450,220,42.00,25.40,11.58,25.09
17:10:28:333443: ,0:00:06.053400,221,42.00,25.40,11.58,25.09
17:10:34:383495: ,0:00:06.050052,222,42.00,25.40,11.58,25.09
17:10:40:436400: ,0:00:06.052905,223,42.00,25.40,11.58,25.09
17:10:46:486326: ,0:00:06.049926,224,42.00,25.40,11.58,25.09
17:10:52:539696: ,0:00:06.053370,225,42.00,25.40,11.58,25.09
17:10:58:589113: ,0:00:06.049417,226,42.00,25.40,11.58,25.09
17:11:04:638523: ,0:00:06.049410,227,42.00,25.40,11.58,25.09
17:11:10:691904: ,0:00:06.053381,228,42.00,25.40,11.58,25.09
17:11:16:741818: ,0:00:06.049914,229,42.00,25.40,11.58,25.09
17:11:22:794698: ,0:00:06.052880,230,42.00,25.40,11.58,25.09
17:11:28:844606: ,0:00:06.049908,231,42.00,25.40,11.58,25.09
17:11:34:897529: ,0:00:06.052923,232,42.00,25.40,11.58,25.09
17:11:40:947429: ,0:00:06.049900,233,42.00,25.40,11.58,25.09
17:11:47:000808: ,0:00:06.053379,234,42.00,25.40,11.58,25.09
